bid,cover,title,author,publisher,abstract,price
1,https://up.bookresource.net/up/fa/aa/78/faaa78377447e90007a462cc41d5c3a2.jpg,父母效能训练手册,戈登,天津社会科学院出版社,《父母效能训练手册:让你和孩子更贴心》父母效能训（P.E.T.）由美国著名心理学家托马斯?戈登于40多年前创立，是美国第一个全国性的父母训练教程，向父母传授与孩子有效沟通的技巧，并循序渐进地提出建议，以解决家庭冲突，让每个人在冲突中都赢。,52.1
2,https://up.bookresource.net/up/67/2b/b6/672bb651b52457679c6c333c78a64e35.jpg,打造儿童阅读环境,[英] 艾登·钱伯斯,南海出版公司,《打造儿童阅读环境》为常年与儿童、图书打交道的老师和家长而写，它能有效地帮助你规划、建立一个让孩子能快速进入状态的阅读环境，学习、实践一种让孩子与别人分享阅读并拓展个人阅读的方法。,27.1
3,https://up.bookresource.net/up/47/b6/7c/47b67ce8ea8533606ea5d46870b1d6dc.jpg,孩子把你的手给我,[美] 海姆·G.吉诺特,京华出版社,大多数父母没有意识到语言的破坏力量。他们发现自己说出来的话正是以前自己的父母对他们说过的，发现他们正用一种自己也不喜欢的语气跟孩子说话，他们原本没打算这样的。,44
4,https://up.bookresource.net/up/f2/76/e0/8a65bddf504eb0aefa51c1ec96e076f2.jpg,耶鲁大学公开课:死亡,[美]谢利·卡根,北京联合出版公司,在这本通俗易懂的哲学著作中，谢利·卡根教授挑战了对于死亡，许多我们习以为常或未经深思的观点，邀请读者系统反思死亡的哲学之谜，以更清晰的概念探讨死亡的意义为何，从形而上学到价值观，认真、理性地思考生命和死亡的真相。,13.8
5,https://up.bookresource.net/up/39/14/21/0832008493c4d665dc8850623a211439.jpg,做孩子一生的贵人,蔡礼旭,团结出版社,《做孩子一生的贵人》是蔡礼旭老师近年来最热门的传统文化讲座之一，在出版之前，已经有大量的光碟流通，不少学校组织老师、学生和家长观看，收到的热烈的欢迎。,59.8
6,https://up.bookresource.net/up/19/f1/60/e4ef6bc3396d7cd0a48ef10f8760f119.jpg,耶鲁大学的公开课,吴涵,陕西师范大学出版社,本书收录了耶鲁大学公开课中最热门的五门课程——《金融市场》、《欧洲文明》、《全球人口增长问题》等，涉及了经济、哲学、文化、社会等问题。,26.3
7,https://up.bookresource.net/up/50/65/ae/31750d5d3163d9f7c4dd49e653ae6550.jpg,数学沉思录:古今数学思想的发展与演变,[美]李维(Mario Livio),人民邮电出版社,数学无处不在，无所不能。它渗透在所有领域，能解释宇宙万物，完全超越了人类的能力。本书按照数学关键概念的演化过程来组织结构，引经据典地从哲学角度全方位阐释数学的本质，以及数学和我们的物质世界、人类思维之间的关系。,11.4
8,https://up.bookresource.net/up/5f/bf/1b/df0e6e53a9bd6061b7067d7a8c1bbf5f.jpg,数学分析八讲,[苏] А. Я. 辛钦,人民邮电出版社,短短八个讲座，让你不仅了解数学分析的概貌，更让你领会数学分析的精髓。这本由伟大的数学教育家辛钦潜心编著的经典教材，思路清晰、引人入胜，全面梳理了数学分析的主要内容。,14.9
9,https://up.bookresource.net/up/ac/7f/3f/68881b9ffc2a9ba321728fb9133f7fac.jpg,哈佛非虚构写作课:怎样讲好一个故事,马克?克雷默 (Mark Kramer) / 温迪?考尔 (Wendy Call),中国文史出版社,《哈佛非虚构写作课:怎样讲好一个故事》是由全球久负盛名的哈佛大学尼曼基金会集聚全美杰出新闻记者和非虚构作者，分享他们独到的创作经验。,32.8
10,https://up.bookresource.net/up/ad/a5/23/d1e82c0556b26163f5017dcf6123a5ad.jpg,快速阅读力训练手册,沃尔特·皮特金,中国发展出版社,这是一本对每个人来说都可谓开卷有益的书，人人都可从中找得到自己所需要的东西。无论你平日只阅读一些报纸，无论你是一家出版社的编辑，你都可以从阅读此书中得到启迪。它将帮助你读破万卷书，获得渊博的知识。,51.4
11,https://up.bookresource.net/up/4a/6b/fa/f3450386c3f4b63b92ace51535fa6b4a.jpg,醉汉的脚步,[英] Leonard Mlodinow,湖南科学技术出版社,《醉汉的脚步》带给你的。不仅是在随机性、偶然性和概率中的一次漫游，还是一个看待世界的全新视角。它同时提醒着我们，生活中的许多事情。大致就如同刚在酒吧待了一夜的家伙那蹒跚的步履一般难以预测。,32.2
12,https://up.bookresource.net/up/98/63/64/5c44ed828c24deedd706b7d612646398.jpg,规矩和爱,王涛,北京理工大学出版社,"不依规矩不成方圆，这句中国的老话正在被越来越多的现代心理学和教育学研究所验证。所谓做规矩就是设定界限遵循规矩,即使在崇尚个人自由的美国，无论是科学的杂志还是通俗的育儿必读都强调要给孩子从小设定界限......",34.2
13,https://up.bookresource.net/up/29/1b/1e/b27de59e3581fec34f6b60dc061e1b29.jpg,看穿一切数字的统计学,[日] 西内启,中信出版社,《看穿一切数字的统计学》，一点儿也不无聊的统计学入门书，不用艰深的数学式，就能理解统计学的基本概念，用故事点出主题，让你学得透彻，看得过瘾。学会统计学，看穿一切数字背后的真相！,38.2
14,https://up.bookresource.net/up/8b/5a/04/8b0eb40797428be6815a843a53045a8b.jpg,我想遇见你的人生,杨照,广西师范大学出版社,本书以类似对话、日记、独白的散文诗形式抒写父女俩日常生活中的点点滴滴和人生感悟。这不是一个人的创作，是父亲、母亲、女儿，一家三口，共同创作了独一无二的互动文本，爱是弥漫其中的内核。,54.8
15,https://up.bookresource.net/up/09/81/4e/3325a70d40071d69f78e49a6d04e8109.jpg,结构思考力,李忠秋,电子工业出版社,本书的核心理念源自芭芭拉﹒明托的《金字塔原理》，运用更符合中国企业及中国人的特点进行诠释。,12.4
16,https://up.bookresource.net/up/ed/99/05/56e0929bec81f909ec57f514cf0599ed.jpg,谁了解孩子成长的秘密,李跃儿,广西科学技术出版社,《谁了解孩子成长的秘密》是儿童教育专家李跃儿把西方主流教育思想应用于东方儿童教育的全面总结，是帮助父母从本质上认识自己的孩子，了解孩子成长规律，把握系统爱育方法的通俗读物。,59.7
17,https://up.bookresource.net/up/5d/0c/f4/0c022e8c24d0584663076d0c6df40c5d.jpg,去情绪化管教:帮助孩子养成高情商有教养的大脑,丹尼尔?西格尔/蒂娜?佩妮?布赖森,机械工业出版社,"本书为家长指出一个有效又有爱的管教方式：通过爱与欢声笑语，而不是严厉训斥，来获取对于孩子更为有效的约束效果。
通过点明“管教”的真义是“教”，而非吼叫或者训斥，作者阐述了家长要保持理智，对孩子的情绪进行理性引导...",21.4
18,https://up.bookresource.net/up/0f/e6/96/b121158555b5dcc9b646c4108e96e60f.jpg,儿童的人格形成及其培养,[奥地利] 阿德勒,河北人民出版社,本书围绕如何帮助儿童形成一个正常、健康的人格这一问题，提出了一个全新的教育理念，着重强调要用正确的方法帮助培养孩子的独立、自信、勇敢不畏困难的品质，以及与他人合作的意识和能力。,31.6
19,https://up.bookresource.net/up/34/53/48/22c1e32638815ec372aa492227485334.jpg,逻辑思维训练500题,于雷,中国言实出版社,现今社会，逻辑思维能力越来越被人看重。不仅考MBA有逻辑题，而且公务员考试也开始加试逻辑测试题。此外，在一些跨国公司的招聘面试中，这类逻辑能力训练题目更是经常出现...,52
20,https://up.bookresource.net/up/5e/46/0d/c065bad8dd5b2d2f771ad56a290d465e.jpg,学会生存:教育世界的今天和明天,联合国教科文组织国际教育发展委员会 编著,教育科学出版社,联合国教科文组织自成立以来，始终致力于通过教育、科学和文化的国际交流合作，促进人类和平与发展。在教育领域，联合国教科文组织出版的一系列重要著作成为指导各国教育事业发展的重要纲领。,50.9
21,https://up.bookresource.net/up/f6/45/68/952aed6b1937456193cbf1026f6845f6.jpg,心灵的觉醒:理解教师叙事探究,吴国珍,北京师范大学出版集团,教育心灵旅程就是那永恒之神向教师抛来的东西，像条蜿蜒幽深的小径，若隐若现于无疆之域，非任何科学探针可触及其爱与善、美与圣、灵性与超越。,46
22,https://up.bookresource.net/up/09/05/01/ee3d2defdf6679d170be27bf38010509.jpg,复盘:对过去的事情做思维演练,陈中,机械工业出版社,复盘是围棋中的一种学习方法，指的是在写完一盘棋之后，要重新摆一遍，看看哪里下得好，哪里下得不好，对下得好和不好的，都要进行分析和推演。,47.3
23,https://up.bookresource.net/up/37/73/50/29a3c793f8cda9c16cb89b3181507337.jpg,刻意练习:如何成为一个高手,[美] 道格?莱莫夫/艾丽卡?伍尔韦/凯蒂?叶兹,中国青年出版社,刻意练习是一种简单到极易被人忽略，却又无比强大的成功模式！练习极简单，又极复杂，每个渴望进步的人，无论从事什么行业，无论是领导者还是员工，都希望掌握练习的方法，抓住练习的规律，以把事情做到极致。,13
24,https://up.bookresource.net/up/26/a5/0b/cbaf349e86bb9ddc76a15136ee0ba526.jpg,最强大脑:写给中国人的记忆魔法书,王峰/陈林/刘苏,北京大学出版社,世界记忆大师王峰和他的团队，将高效的记忆方法，做了最新、最权威的总结，并将这些方法巧妙地与中学各学科的知识点结合起来，让你在学习语文、英语、政治、历史、地理、物理、生物等学科时更轻松，更省力，快速提高考试成绩。,26.9
25,https://up.bookresource.net/up/69/da/47/69a1e2c8e9788b176b00ecca2647da69.jpg,大脑勇士,(美)丹尼尔?亚蒙(Daniel G. Amen) / 塔娜?亚蒙(Tana Amen),湛庐文化/浙江人民出版社,你是否经常因为自己的拖延、低自控力、容易抑郁、冲动、偏执、愤怒而烦恼？,24.8
26,https://up.bookresource.net/up/ca/e4/4f/a8df9c375f81af2d126c8383824fe4ca.jpg,孩子是个哲学家,[意]皮耶罗?费鲁奇,上海社会科学院出版社,《孩子是个哲学家》是一本写给天下父母亲的书。,50
27,https://up.bookresource.net/up/07/03/a8/47a1e75fa26cdf7213833da3efa80307.jpg,"宝贝,宝贝",周国平,江苏人民出版社,当年的《妞妞》，以哲学的悲恸感动了无数人，几乎所有的父母都不忍却又忍不住去读她。,39.3
28,https://up.bookresource.net/up/ba/74/44/845e384d05bca6aef91cfd46234474ba.jpg,孩子是如何学习的,John Holt,陕西人民美术出版社,《孩子是如何失败的》(畅销美国200多万册的教子经典)注重的是描述有效的学习方式，而不是注重于解释或者给出一个学习的理论。,33.5
29,https://up.bookresource.net/up/76/c5/df/fe2b5a517323e37eca8fd043d7dfc576.jpg,游戏心理学,陈京炜 著 / 何晓抒 插图,中国传媒大学出版社,《游戏心理学》是数字游戏设计专业基础理论教材。,44.6
30,https://up.bookresource.net/up/16/99/6e/b428524a004473a0fe11d2466e6e9916.jpg,新闻学概论(第3版),李良荣,复旦大学,《新闻学概论(第3版)(新世纪版)》是《新闻学概论》被教育部列为“十一五”国家级规划教材，并被评为国家级精品课程后，作者进行修订后的第3版。,42.5
31,https://up.bookresource.net/up/73/0e/d9/75664b824d8b7b2ebe40c17b2bd90e73.jpg,HIPPY计划：以家庭为中心的澳大利亚学前教育,Avima Lombard,中文科技期刊数据库,这是一个关于澳大利亚政府扶持的HIPPY学前教育计划书，书中为读者介绍了关于一些学前教育的经验分享。,46
32,https://up.bookresource.net/up/ca/e1/5b/2957f018c56dec40799286cea05be1ca.jpg,从小读到大,尹建莉,长江文艺出版社,"“阅读是父母给孩子的*宝物”
“让孩子爱上阅读，教育就成功了一半”
“语文是各科的底蕴，阅读是语文的精髓”……
继《好妈妈胜过好老师》震撼中国教育界，促进人们对阅读的认识后，尹建莉*力作《从“小”读到“大”》详细而系统为读者讲述孩子的阅读养育，从100多个案例中，为家长解答如何让孩子爱上阅读、读什么、怎么读，如何识字、如何学习拼音、如何学习古诗词、如何写作，等等，并为孩子推荐阅读书单，为家长推荐教育经典读物。",41
33,https://up.bookresource.net/up/7c/6e/d6/1fbf6658db414bfc76174633c2d66e7c.jpg,分心的孩子这样教,[美] 爱德华?哈洛韦尔 / [美] 彼得?詹森,山西教育出版社,孩子，你能不能不丢三落四、不磨磨蹭蹭，老实坐一会儿？你为什么不能像其他孩子那样乖乖的？我该拿你怎么办？,39.4
34,https://up.bookresource.net/up/b0/a7/c3/d3fa74e55d8032046f7c5016c5c3a7b0.jpg,自适应学习,李韧,清华大学出版社,本书可作为高等院校教育学、教育技术、计算机高年级本科生、研究生的教材，也可作为广大教育科技工作者和教育管理者的参考用书。,33.1
35,https://up.bookresource.net/up/25/28/1d/5910a6a5cd9b4254a375a252b51d2825.jpg,与童年创伤和解,秋丽安·斯莫尔,中国友谊出版公司,许多成年人未解决的童年依恋创伤往往会影响其自我认同。,44.2
36,https://up.bookresource.net/up/12/a8/c4/98debe4d249973a108abe18bb1c4a812.jpg,你的4岁孩子,玉冰,江西科学技术出版社,"郑重地向所有的家长们推荐这套路易丝·埃姆斯等编著的《全球阶梯教养圣经(共3册)》，这是迄今为止对家长育儿最有帮助的书；郑重地向老师们推荐这本书，因为有了这本书。忙碌的老师们就再也不用为发展心理学中的那些生涩的字词而头痛了。妈妈和老师不想成为理论研究者，他们只想在帮助孩子的同时懂得孩子。他们只想知道一个两岁的孩子眼皮都不抬地乱扔东西是否正常：他们只想知道当孩子乱扔东西时，他们该怎样帮助孩子。
当有一本书说“孩子的感知运动时期的第八循环第一阶段。其生物功能如何被环境所改变。这一改变来自于怎样的图示过程”时，家长和老师们真的就被吓住了。他们带着可怜的、自信心受到打击的神情对你说：“我学不会，我不懂，我做不到。”
假设你是那个作者，当一个老师或一个家长这样对你说时，你会绝望吗？你会觉得他们不适合做父母和老师吗？这时。请你看看这本书，看看它是用怎样的关怀，向想要了解孩子的人讲述孩子。又是用怎样朴实贴切的招数在帮助它的读者。看了这本书，你会知道，这本书是有鲜活灵魂的，当你面对它时，你会自然轻松地用心灵与它沟通。
朋友们，请打开这套《全球阶梯教养圣经(共3册)》吧。不管你是妈妈还是爸爸。不管你是老师还是教育家，请打开这本书吧！",24.2
37,https://up.bookresource.net/up/4a/ef/c8/18e44c62b7783276bbde37073ec8ef4a.jpg,大忙人这样陪孩子,[英]雷?伯克博士 / [英]罗恩?赫伦 / [英]布丽奇特?巴恩斯,江苏教育出版社,"《大忙人这样陪孩子,半小时胜过一整天》内容简介：工作越来越忙，陪孩子的时间越来越少，孩子跟您越来越疏远，其实，只要掌握陪伴技巧，大忙人也能事半功倍，轻松教出乐观、自信的孩子。《大忙人这样陪孩子,半小时胜过一整天》专为大忙人设计，《大忙人这样陪孩子,半小时胜过一整天》的方法科学、简单、易操作。用这样的方法陪孩子，大忙人的陪伴质量立刻提升：1.每次只讲一件事，千万别跟孩子的气话较真：孩子说气话时，您一定要始终围绕主题进行教育。如果孩子真想和你谈点别的，那你可以让他在主要问题（即他的不当行为）谈完后再提出来。2.全家在一起时，多加点有趣、好玩的元素：当着家人的面表扬孩子，能轻松让孩子明白家人很看重他，这样，孩子会更乐意保持自己的好行为，即使没人“监控”，也能表现好。
每天只需半小时，您就能让孩子更乐观、更自信！快快翻开《大忙人这样陪孩子,半小时胜过一整天》，让美国资深育儿专家手把手教您掌握高效育儿技巧吧！其实，只要掌握陪伴技巧，大忙人也能事半功倍，轻松教出乐观、自信的孩子。《大忙人这样陪孩子,半小时胜过一整天》专为大忙人设计，书中的方法科学、简单、易操作。用这样的方法陪孩子，大忙人的陪伴质量立刻提升，轻松拥有温馨家庭：大忙人专用育儿宝典，迅速拉近您和孩子的心灵距离，巧妙激发孩子的自觉性！",50
38,https://up.bookresource.net/up/bf/19/bf/b13602d588470978af5cbee38ebf19bf.jpg,大J小D新书 打造儿童超级大脑,大J 著,中国妇女出版社,"好的老师是父母，好的早教在家庭。儿童的早期教育和潜能开发问题越来越受到家长和社会各界的重视，家长们通过订阅育儿类公众号、上早教班和兴趣班、参加夏令营、国外游学等多种形式，致力于培养高智商、高情商的孩子。但很多情况下，家长做出这些决定是因为周围的人都这么做，所以自己也跟风这么做。
但是作为家长，你是否从一开始就知道把自己的孩子培养成什么样的人？是否从一开始就对孩子未来的发展设计好了蓝图？本书正是出于这个目的——为家长提供全面、科学、系统的全脑开发知识体系，让家长在了解孩子大脑发展规律的前提下，有针对性地培养孩子的语言能力、思考能力、质疑精神、专注力、记忆力等16种关键能力，为打造高情商、高智商的孩子做好充分的准备。
本书不是高高在上的理论堆砌，更不是假大空的鸡汤，而是一本所有父母都能理解、每个家庭都能上手实践，而且具有坚实理论支撑的完整知识体系。",50
39,https://up.bookresource.net/up/f4/34/a0/b77fabde08530b1910915482c5a034f4.jpg,学习树:系统解决孩子学习问题的新思维,斯坦利·格林斯潘 (Stanley I. Greenspan) / 南希·桑代克·格林斯潘 (Nancy Thorndike Greenspan),浙江人民出版社,"? 随着年龄的增长，每个人思维能力的发展都经历了9个层层递进的过程。无论在哪一层次出现问题，都会给下一层次的发展带来阻碍。这9个思维层次分别：注意世界、参与世界、互动与交流、共同解决问题、利用有意义的想法、逻辑思维、多因素思维、比较/灰色地带思维和反思性思维。
? 学习树的树根代表儿童吸收信息和制定行动计划的各种不同的方法；学习树的树干代表思维能力，即日益复杂的思维方式的发展；学习树的树枝代表阅读、数学、口语表达、写作以及组织能力等基本的学业技能。
? 我们身体的感觉系统每天都在接受各种纷乱复杂的外部信息，但是不同孩子对同一信息的理解可能完全不同。
? 解决学习困难的关键在于能充分调动孩子的情感，激起他们的兴趣，然后再在此基础上反复练习各种思维能力。无论是寻宝游戏还是类比举例，最终都是为了给孩子设置他们熟悉或令他们感兴趣的情感环境，使他们自然而然地参与其中学习。",50.5
40,https://up.bookresource.net/up/82/2d/88/a79e5df9cd20c4e0d450ca6224882d82.jpg,人的教育,福禄培尔,人民教育,《人的教育》一书是一本著名的教育论著，作者福禄培尔是德国著名的教育理论家和教育实践家，近代学前教育理论的奠基人，被称作“幼儿教育之父”。他的关于学前教育的理论和实践活动，是他一生活动的主要方面。《人的教育》就是一部泛论儿童时期学前和学校教育的书。书中，福禄培尔主张教育要适应儿童的天性，反对强制性教育和压制儿童的发展，重视儿童积极活动和发展儿童个性以及强调早期教育的重要意义，主张人的一切发展阶段教育的连续性等。,38.7
41,https://up.bookresource.net/up/36/29/a6/e1135cd55c17ef547f286efd4ba62936.jpg,特别的女生撒哈拉,爱斯米·科德尔,陕西师范大学出版社,萨哈拉？呵呵，这不是地名，是人名！这个女孩心中的秘密象撒哈拉沙漠那么大、那么宽。在学校，在老师同学眼里，她是一个需要“特别的帮助”的笨学生，她不写作业，不开口读书，不学习。但是实际上，萨哈拉热爱阅读，疯狂地喜欢写作，甚至还写了一本属于自己的书，偷偷地藏在图书馆里，期望有一天有人能看到自己的作品。萨哈拉本以为“真正的自己”只有最好的朋友瑞秋才知道，直到一个“行为怪异”的波迪老师成了她的新老师，崭新的生活也在萨哈拉面前展开，一场奇妙的旅程就这样开始了……,37.3
42,https://up.bookresource.net/up/7b/5e/ec/bff6f06288ddb077b6a462f170ec5e7b.jpg,科学学习,【美】丹尼尔 L. 施瓦茨（Daniel L. Schwartz） / 杰西卡,机械工业出版社,"本书领衔作者施瓦茨教授是斯坦福教育学院院长、学习科学领域专家，开设过18门学习相关的课程，本书源于其在斯坦福开设的一门广受欢迎的经典学习课。
精炼：根据多年科研、教学和实践经验，作者以学习科学领域成千上万的文献资料为基础，提炼出有代表性、较为成熟、实证有效的26种学习法则，以26个字母的顺序呈现出来。",12.2
43,https://up.bookresource.net/up/d9/ae/44/58ea89007761317996dbc1886344aed9.jpg,如何唤醒数学脑,[日] 永野裕之 著,北京时代华文书局,每个人天生都有数学力，有着内建的“数学式思维模式”，若能有效发挥，就能在学校、职场、人际关系中表现出来，从容不迫地获得更好的效率及成就感。但这种思维模式会受到周围情境、心理状态等因素的影响，总是“灵光一闪”、“无意识”地显现，让我们难以掌握，在必要时反而无法使其发挥作用。,47.9
